tweet_id,dog_stages
890240255349198849,doggo
884162670584377345,doggo
872967104147763200,doggo
871515927908634625,doggo
871102520638267392,doggo
869596645499047938,doggo
858843525470990336,doggo
855851453814013952,doggo
854010172552949760,doggo
846514051647705089,doggo
845397057150107648,doggo
836753516572119041,doggo
834574053763584002,doggo
834089966724603904,doggo
832998151111966721,doggo
832273440279240704,doggo
832032802820481025,doggo
831939777352105988,doggo
831322785565769729,doggo
829449946868879360,doggo
829374341691346946,doggo
828381636999917570,doggo
826958653328592898,doggo
826848821049180160,doggo
826476773533745153,doggo
826204788643753985,doggo
821765923262631936,doggo
821407182352777218,doggo
821107785811234820,doggo
819924195358416896,doggo
819006400881917954,doggo
819004803107983360,doggo
817777686764523521,doggo
813910438903693312,doggo
813202720496779264,doggo
813127251579564032,doggo
813096984823349248,doggo
808106460588765185,doggo
801115127852503040,doggo
800018252395122689,doggo
799757965289017345,doggo
796484825502875648,doggo
795464331001561088,doggo
786363235746385920,doggo
785639753186217984,doggo
782747134529531904,doggo
782305867769217024,doggo
781655249211752448,doggo
781308096455073793,doggo
780074436359819264,doggo
775733305207554048,doggo
775364825476165632,doggo
771908950375665664,doggo
768193404517830656,doggo
767191397493538821,doggo
760893934457552897,doggo
760521673607086080,doggo
759793422261743616,doggo
758828659922702336,doggo
757393109802180609,doggo
756526248105566208,doggo
755206590534418437,doggo
752682090207055872,doggo
752660715232722944,doggo
752334515931054080,doggo
751583847268179968,doggo
750011400160841729,doggo
749075273010798592,doggo
748932637671223296,doggo
748692773788876800,doggo
745433870967832576,doggo
744234799360020481,doggo
742534281772302336,doggo
741067306818797568,doggo
739623569819336705,doggo
739238157791694849,doggo
735256018284875776,doggo
733109485275860992,doggo
732375214819057664,doggo
727644517743104000,doggo
724771698126512129,doggo
719991154352222208,doggo
716080869887381504,doggo
883360690899218434,floofer
854010172552949760,floofer
800388270626521089,floofer
776218204058357768,floofer
749317047558017024,floofer
746542875601690625,floofer
737445876994609152,floofer
733822306246479872,floofer
689993469801164801,floofer
685307451701334016,floofer
886366144734445568,pupper
882762694511734784,pupper
881536004380872706,pupper
876838120628539392,pupper
874296783580663808,pupper
873213775632977920,pupper
871762521631449091,pupper
866450705531457537,pupper
854120357044912130,pupper
850019790995546112,pupper
845306882940190720,pupper
837820167694528512,pupper
837110210464448512,pupper
836380477523124226,pupper
833124694597443584,pupper
831315979191906304,pupper
827933404142436356,pupper
824325613288833024,pupper
822462944365645825,pupper
819238181065359361,pupper
817777686764523521,pupper
815966073409433600,pupper
814986499976527872,pupper
811386762094317568,pupper
808733504066486276,pupper
808106460588765185,pupper
807621403335917568,pupper
803638050916102144,pupper
801115127852503040,pupper
800459316964663297,pupper
797971864723324932,pupper
794205286408003585,pupper
789903600034189313,pupper
785639753186217984,pupper
781308096455073793,pupper
779377524342161408,pupper
778039087836069888,pupper
778027034220126208,pupper
776477788987613185,pupper
776113305656188928,pupper
773985732834758656,pupper
773547596996571136,pupper
772193107915964416,pupper
765371061932261376,pupper
759943073749200896,pupper
759793422261743616,pupper
756939218950160384,pupper
755955933503782912,pupper
751950017322246144,pupper
751583847268179968,pupper
751456908746354688,pupper
750868782890057730,pupper
750506206503038976,pupper
750383411068534784,pupper
750071704093859840,pupper
749417653287129088,pupper
748337862848962560,pupper
747963614829678593,pupper
744223424764059648,pupper
743222593470234624,pupper
742465774154047488,pupper
742150209887731712,pupper
741743634094141440,pupper
741067306818797568,pupper
740676976021798912,pupper
739606147276148736,pupper
736392552031657984,pupper
736365877722001409,pupper
735648611367784448,pupper
735137028879360001,pupper
733109485275860992,pupper
730573383004487680,pupper
